KPROJ,W,M,PROBES,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
17,10,20000,850,0.620000,1.032687,0.007566,0.333540,132.176350
17,20,5000,500,0.390000,1.097033,0.002443,0.333540,409.275827
17,20,5000,850,0.400000,1.096034,0.002276,0.333540,439.319055
17,20,8500,500,0.440000,1.081795,0.003958,0.333540,252.680306
17,20,8500,850,0.450000,1.080534,0.004133,0.333540,241.973731
17,20,10000,500,0.440000,1.081123,0.006290,0.333540,158.982006
17,20,10000,850,0.450000,1.079862,0.004639,0.333540,215.575781
17,20,20000,500,0.550000,1.060488,0.007474,0.333540,133.796268
17,20,20000,850,0.570000,1.053608,0.008285,0.333540,120.703703
17,50,5000,500,0.280000,1.164460,0.002093,0.333540,477.890401
17,50,5000,850,0.290000,1.161335,0.002313,0.333540,432.309049
17,50,8500,500,0.310000,1.147822,0.003596,0.333540,278.115379
17,50,8500,850,0.320000,1.144697,0.003430,0.333540,291.535840
17,50,10000,500,0.330000,1.136572,0.004075,0.333540,245.417443
17,50,10000,850,0.340000,1.133447,0.004267,0.333540,234.350100
17,50,20000,500,0.450000,1.092473,0.007785,0.333540,128.459577
17,50,20000,850,0.460000,1.089348,0.008980,0.333540,111.364031
17,80,5000,500,0.310000,1.129761,0.002294,0.333540,435.993914
17,80,5000,850,0.320000,1.126920,0.002057,0.333540,486.229967
17,80,8500,500,0.360000,1.102331,0.003626,0.333540,275.768498
17,80,8500,850,0.370000,1.099489,0.003810,0.333540,262.447904
17,80,10000,500,0.410000,1.089503,0.004225,0.333540,236.665665
17,80,10000,850,0.420000,1.086661,0.004205,0.333540,237.811563
17,80,20000,500,0.490000,1.055539,0.007989,0.333540,125.167098
17,80,20000,850,0.500000,1.052697,0.008457,0.333540,118.246499
18,5,5000,500,0.430000,1.089047,0.002202,0.333540,454.093425
