KPROJ,W,M,PROBES,AvgRecall,AvgAF,QPS,OutFile
11,35,2000,2,0.100000,1.266995,3017.410458,runs/hypercube_mnist/run_k11_w35_m2000_p2.txt
11,35,2000,5,0.150000,1.180744,1446.591830,runs/hypercube_mnist/run_k11_w35_m2000_p5.txt
11,35,2000,10,0.310000,1.112598,747.127296,runs/hypercube_mnist/run_k11_w35_m2000_p10.txt
11,35,2000,50,0.490000,1.062335,306.933945,runs/hypercube_mnist/run_k11_w35_m2000_p50.txt
11,35,2000,100,0.520000,1.047397,261.463200,runs/hypercube_mnist/run_k11_w35_m2000_p100.txt
11,35,2000,500,0.520000,1.047397,270.812627,runs/hypercube_mnist/run_k11_w35_m2000_p500.txt
11,35,2000,800,0.520000,1.047397,247.436557,runs/hypercube_mnist/run_k11_w35_m2000_p800.txt
11,35,4000,1,0.090000,1.297681,5075.626840,runs/hypercube_mnist/run_k11_w35_m4000_p1.txt
11,35,4000,2,0.100000,1.266995,3168.869031,runs/hypercube_mnist/run_k11_w35_m4000_p2.txt
11,35,4000,5,0.150000,1.180744,1410.158784,runs/hypercube_mnist/run_k11_w35_m4000_p5.txt
11,35,4000,10,0.310000,1.112598,730.620297,runs/hypercube_mnist/run_k11_w35_m4000_p10.txt
11,35,4000,50,0.560000,1.047995,197.209486,runs/hypercube_mnist/run_k11_w35_m4000_p50.txt
11,35,4000,100,0.670000,1.027250,153.856805,runs/hypercube_mnist/run_k11_w35_m4000_p100.txt
11,35,4000,500,0.680000,1.024955,124.959232,runs/hypercube_mnist/run_k11_w35_m4000_p500.txt
11,35,4000,800,0.680000,1.024955,127.959872,runs/hypercube_mnist/run_k11_w35_m4000_p800.txt
11,35,8000,1,0.090000,1.297681,5026.641198,runs/hypercube_mnist/run_k11_w35_m8000_p1.txt
11,35,8000,2,0.100000,1.266995,3203.074952,runs/hypercube_mnist/run_k11_w35_m8000_p2.txt
11,35,8000,5,0.150000,1.180744,1411.691630,runs/hypercube_mnist/run_k11_w35_m8000_p5.txt
11,35,8000,10,0.310000,1.112598,663.561200,runs/hypercube_mnist/run_k11_w35_m8000_p10.txt
11,35,8000,50,0.600000,1.043950,178.986614,runs/hypercube_mnist/run_k11_w35_m8000_p50.txt
11,35,8000,100,0.720000,1.022039,114.198793,runs/hypercube_mnist/run_k11_w35_m8000_p100.txt
11,35,8000,500,0.830000,1.012161,71.089576,runs/hypercube_mnist/run_k11_w35_m8000_p500.txt
11,35,8000,800,0.830000,1.012161,69.332597,runs/hypercube_mnist/run_k11_w35_m8000_p800.txt
11,40,10,1,0.010000,1.634725,23696.682464,runs/hypercube_mnist/run_k11_w40_m10_p1.txt
11,40,10,2,0.010000,1.631053,22371.364653,runs/hypercube_mnist/run_k11_w40_m10_p2.txt
11,40,10,5,0.010000,1.629924,16315.875347,runs/hypercube_mnist/run_k11_w40_m10_p5.txt
11,40,10,10,0.010000,1.629924,21172.983273,runs/hypercube_mnist/run_k11_w40_m10_p10.txt
11,40,10,50,0.010000,1.629924,25654.181632,runs/hypercube_mnist/run_k11_w40_m10_p50.txt
11,40,10,100,0.010000,1.629924,24600.246002,runs/hypercube_mnist/run_k11_w40_m10_p100.txt
11,40,10,500,0.010000,1.629924,18882.175227,runs/hypercube_mnist/run_k11_w40_m10_p500.txt
11,40,10,800,0.010000,1.629924,23191.094620,runs/hypercube_mnist/run_k11_w40_m10_p800.txt
11,40,50,1,0.030000,1.380898,5641.748942,runs/hypercube_mnist/run_k11_w40_m50_p1.txt
11,40,50,2,0.040000,1.367081,10044.194456,runs/hypercube_mnist/run_k11_w40_m50_p2.txt
11,40,50,5,0.040000,1.349871,9680.542110,runs/hypercube_mnist/run_k11_w40_m50_p5.txt
11,40,50,10,0.040000,1.349341,9498.480243,runs/hypercube_mnist/run_k11_w40_m50_p10.txt
11,40,50,50,0.040000,1.349341,9487.666034,runs/hypercube_mnist/run_k11_w40_m50_p50.txt
11,40,50,100,0.040000,1.349341,9334.453468,runs/hypercube_mnist/run_k11_w40_m50_p100.txt
11,40,50,500,0.040000,1.349341,7703.566751,runs/hypercube_mnist/run_k11_w40_m50_p500.txt
11,40,50,800,0.040000,1.349341,9004.141905,runs/hypercube_mnist/run_k11_w40_m50_p800.txt
11,40,100,1,0.050000,1.330093,5413.012883,runs/hypercube_mnist/run_k11_w40_m100_p1.txt
11,40,100,2,0.060000,1.307147,6164.088023,runs/hypercube_mnist/run_k11_w40_m100_p2.txt
11,40,100,5,0.070000,1.266806,5715.265474,runs/hypercube_mnist/run_k11_w40_m100_p5.txt
11,40,100,10,0.080000,1.258685,4344.426101,runs/hypercube_mnist/run_k11_w40_m100_p10.txt
11,40,100,50,0.080000,1.258685,4743.382981,runs/hypercube_mnist/run_k11_w40_m100_p50.txt
11,40,100,100,0.080000,1.258685,4353.315049,runs/hypercube_mnist/run_k11_w40_m100_p100.txt
11,40,100,500,0.080000,1.258685,5377.789728,runs/hypercube_mnist/run_k11_w40_m100_p500.txt
11,40,100,800,0.080000,1.258685,5148.005148,runs/hypercube_mnist/run_k11_w40_m100_p800.txt
11,40,500,1,0.080000,1.317701,4410.726888,runs/hypercube_mnist/run_k11_w40_m500_p1.txt
11,40,500,2,0.090000,1.290215,3559.478892,runs/hypercube_mnist/run_k11_w40_m500_p2.txt
11,40,500,5,0.120000,1.208609,1808.678037,runs/hypercube_mnist/run_k11_w40_m500_p5.txt
11,40,500,10,0.190000,1.160167,1350.183625,runs/hypercube_mnist/run_k11_w40_m500_p10.txt
11,40,500,50,0.240000,1.141159,1113.734575,runs/hypercube_mnist/run_k11_w40_m500_p50.txt
11,40,500,100,0.240000,1.141159,1041.200296,runs/hypercube_mnist/run_k11_w40_m500_p100.txt
11,40,500,500,0.240000,1.141159,977.431116,runs/hypercube_mnist/run_k11_w40_m500_p500.txt
11,40,500,800,0.240000,1.141159,908.347716,runs/hypercube_mnist/run_k11_w40_m500_p800.txt
11,40,1000,1,0.080000,1.317701,4033.721915,runs/hypercube_mnist/run_k11_w40_m1000_p1.txt
11,40,1000,2,0.090000,1.289297,3186.946268,runs/hypercube_mnist/run_k11_w40_m1000_p2.txt
11,40,1000,5,0.130000,1.202908,1404.494382,runs/hypercube_mnist/run_k11_w40_m1000_p5.txt
11,40,1000,10,0.300000,1.128295,975.962055,runs/hypercube_mnist/run_k11_w40_m1000_p10.txt
11,40,1000,50,0.430000,1.083954,446.913393,runs/hypercube_mnist/run_k11_w40_m1000_p50.txt
11,40,1000,100,0.430000,1.081583,479.299073,runs/hypercube_mnist/run_k11_w40_m1000_p100.txt
11,40,1000,500,0.430000,1.081583,567.520785,runs/hypercube_mnist/run_k11_w40_m1000_p500.txt
11,40,1000,800,0.430000,1.081583,280.396368,runs/hypercube_mnist/run_k11_w40_m1000_p800.txt
11,40,2000,1,0.080000,1.317701,2428.717152,runs/hypercube_mnist/run_k11_w40_m2000_p1.txt
11,40,2000,2,0.090000,1.289297,1565.214669,runs/hypercube_mnist/run_k11_w40_m2000_p2.txt
11,40,2000,5,0.130000,1.202908,805.931657,runs/hypercube_mnist/run_k11_w40_m2000_p5.txt
11,40,2000,10,0.340000,1.116310,417.684773,runs/hypercube_mnist/run_k11_w40_m2000_p10.txt
11,40,2000,50,0.530000,1.062800,171.717744,runs/hypercube_mnist/run_k11_w40_m2000_p50.txt
11,40,2000,100,0.560000,1.052411,153.320618,runs/hypercube_mnist/run_k11_w40_m2000_p100.txt
11,40,2000,500,0.560000,1.052411,149.383717,runs/hypercube_mnist/run_k11_w40_m2000_p500.txt
11,40,2000,800,0.560000,1.052411,148.172953,runs/hypercube_mnist/run_k11_w40_m2000_p800.txt
11,40,4000,1,0.080000,1.317701,2578.449321,runs/hypercube_mnist/run_k11_w40_m4000_p1.txt
11,40,4000,2,0.090000,1.289297,1583.105102,runs/hypercube_mnist/run_k11_w40_m4000_p2.txt
11,40,4000,5,0.130000,1.202908,837.135323,runs/hypercube_mnist/run_k11_w40_m4000_p5.txt
11,40,4000,10,0.340000,1.116310,416.474047,runs/hypercube_mnist/run_k11_w40_m4000_p10.txt
11,40,4000,50,0.590000,1.050757,118.921053,runs/hypercube_mnist/run_k11_w40_m4000_p50.txt
11,40,4000,100,0.690000,1.032437,82.937376,runs/hypercube_mnist/run_k11_w40_m4000_p100.txt
11,40,4000,500,0.700000,1.030300,72.184133,runs/hypercube_mnist/run_k11_w40_m4000_p500.txt
11,40,4000,800,0.700000,1.030300,156.904586,runs/hypercube_mnist/run_k11_w40_m4000_p800.txt
11,40,8000,1,0.080000,1.317701,5867.855885,runs/hypercube_mnist/run_k11_w40_m8000_p1.txt
11,40,8000,2,0.090000,1.289297,3370.862267,runs/hypercube_mnist/run_k11_w40_m8000_p2.txt
11,40,8000,5,0.130000,1.202908,1730.043943,runs/hypercube_mnist/run_k11_w40_m8000_p5.txt
11,40,8000,10,0.340000,1.116310,873.568440,runs/hypercube_mnist/run_k11_w40_m8000_p10.txt
11,40,8000,50,0.600000,1.049662,215.662721,runs/hypercube_mnist/run_k11_w40_m8000_p50.txt
11,40,8000,100,0.750000,1.024778,124.010089,runs/hypercube_mnist/run_k11_w40_m8000_p100.txt
11,40,8000,500,0.810000,1.014605,73.436914,runs/hypercube_mnist/run_k11_w40_m8000_p500.txt
11,40,8000,800,0.810000,1.014605,71.408220,runs/hypercube_mnist/run_k11_w40_m8000_p800.txt
11,45,10,1,0.010000,1.645626,31615.554853,runs/hypercube_mnist/run_k11_w45_m10_p1.txt
11,45,10,2,0.010000,1.639660,30627.871363,runs/hypercube_mnist/run_k11_w45_m10_p2.txt
11,45,10,5,0.010000,1.633766,25726.781580,runs/hypercube_mnist/run_k11_w45_m10_p5.txt
11,45,10,10,0.010000,1.633766,30202.355784,runs/hypercube_mnist/run_k11_w45_m10_p10.txt
11,45,10,50,0.010000,1.633766,28184.892897,runs/hypercube_mnist/run_k11_w45_m10_p50.txt
11,45,10,100,0.010000,1.633766,18900.018900,runs/hypercube_mnist/run_k11_w45_m10_p100.txt
11,45,10,500,0.010000,1.633766,24863.252113,runs/hypercube_mnist/run_k11_w45_m10_p500.txt
11,45,10,800,0.010000,1.633766,23158.869847,runs/hypercube_mnist/run_k11_w45_m10_p800.txt
11,45,50,1,0.050000,1.348052,11669.973159,runs/hypercube_mnist/run_k11_w45_m50_p1.txt
11,45,50,2,0.060000,1.334333,10164.667615,runs/hypercube_mnist/run_k11_w45_m50_p2.txt
11,45,50,5,0.060000,1.321922,8926.977325,runs/hypercube_mnist/run_k11_w45_m50_p5.txt
11,45,50,10,0.060000,1.320835,10240.655402,runs/hypercube_mnist/run_k11_w45_m50_p10.txt
11,45,50,50,0.060000,1.320835,9823.182711,runs/hypercube_mnist/run_k11_w45_m50_p50.txt
11,45,50,100,0.060000,1.320835,8125.457057,runs/hypercube_mnist/run_k11_w45_m50_p100.txt
11,45,50,500,0.060000,1.320835,8963.786303,runs/hypercube_mnist/run_k11_w45_m50_p500.txt
11,45,50,800,0.060000,1.320835,6257.822278,runs/hypercube_mnist/run_k11_w45_m50_p800.txt
11,45,100,1,0.050000,1.319794,6865.302760,runs/hypercube_mnist/run_k11_w45_m100_p1.txt
11,45,100,2,0.060000,1.301493,6744.452688,runs/hypercube_mnist/run_k11_w45_m100_p2.txt
11,45,100,5,0.060000,1.271905,5801.137023,runs/hypercube_mnist/run_k11_w45_m100_p5.txt
11,45,100,10,0.060000,1.259609,5487.570652,runs/hypercube_mnist/run_k11_w45_m100_p10.txt
11,45,100,50,0.060000,1.259609,4856.726566,runs/hypercube_mnist/run_k11_w45_m100_p50.txt
11,45,100,100,0.060000,1.259609,5610.098177,runs/hypercube_mnist/run_k11_w45_m100_p100.txt
11,45,100,500,0.060000,1.259609,5390.544984,runs/hypercube_mnist/run_k11_w45_m100_p500.txt
11,45,100,800,0.060000,1.259609,5243.013684,runs/hypercube_mnist/run_k11_w45_m100_p800.txt
11,45,500,1,0.110000,1.297788,4196.215014,runs/hypercube_mnist/run_k11_w45_m500_p1.txt
11,45,500,2,0.120000,1.272699,3056.234719,runs/hypercube_mnist/run_k11_w45_m500_p2.txt
11,45,500,5,0.140000,1.204540,1916.994153,runs/hypercube_mnist/run_k11_w45_m500_p5.txt
11,45,500,10,0.190000,1.150965,1383.585146,runs/hypercube_mnist/run_k11_w45_m500_p10.txt
11,45,500,50,0.230000,1.134152,1140.432908,runs/hypercube_mnist/run_k11_w45_m500_p50.txt
11,45,500,100,0.230000,1.134152,1132.323301,runs/hypercube_mnist/run_k11_w45_m500_p100.txt
11,45,500,500,0.230000,1.134152,1104.691625,runs/hypercube_mnist/run_k11_w45_m500_p500.txt
11,45,500,800,0.230000,1.134152,1117.318436,runs/hypercube_mnist/run_k11_w45_m500_p800.txt
11,45,1000,1,0.110000,1.297788,4000.640102,runs/hypercube_mnist/run_k11_w45_m1000_p1.txt
11,45,1000,2,0.120000,1.271085,2754.441537,runs/hypercube_mnist/run_k11_w45_m1000_p2.txt
11,45,1000,5,0.140000,1.202601,1569.390606,runs/hypercube_mnist/run_k11_w45_m1000_p5.txt
11,45,1000,10,0.260000,1.133933,903.105781,runs/hypercube_mnist/run_k11_w45_m1000_p10.txt
11,45,1000,50,0.330000,1.107777,597.407253,runs/hypercube_mnist/run_k11_w45_m1000_p50.txt
